Method	GPS	TP	FP	FN	TN	PREC	REC	F1
LAM	20	0.54	0.06	49.46	949.94	0.9	0.0108	0.0213438735177866
LAM	20	0.14	0	49.86	950	1	0.0028	0.00558436378141205
LAM	20	0.48	0.02	49.52	949.98	0.96	0.0096	0.019009900990099
LAM	20	0.96	0.04	49.04	949.96	0.96	0.0192	0.0376470588235294
LAM	20	1.42	0.08	48.58	949.92	0.9466667	0.0284	0.0551456311245169
LAM	20	0.54	0.02	49.46	949.98	0.9642857	0.0108	0.0213607594901658
LAM	20	0.9	0.02	49.1	949.98	0.9782609	0.018	0.0353495679695951
LAM	20	1.68	0.06	48.32	949.94	0.9655172	0.0336	0.0649400849469912
LAM	20	2.36	0.08	47.64	949.92	0.9672131	0.0472	0.0900076277011801
LAM	20	1.24	0.02	48.76	949.98	0.984127	0.0248	0.0483808037647917
LAM	20	1.64	0.04	48.36	949.96	0.9761905	0.0328	0.0634674923103835
LAM	20	2.72	0.06	47.28	949.94	0.9784173	0.0544	0.103069344636268
LAM	20	3.06	0.08	46.94	949.92	0.9745223	0.0612	0.115167482171621
ALT	20	0	0.02	50	949.98	0	0	0
ALT	20	0	0.04	50	949.96	0	0	0
ALT	20	0.04	0.06	49.96	949.94	0.4	0.0008	0.00159680638722555
ALT	20	0.02	0.04	49.98	949.96	0.3333333	0.0004	0.000799041150523487
ALT	20	0	0	50	950	0	0	0
ALT	20	0.04	0.08	49.96	949.92	0.3333333	0.0008	0.00159616919355239
ALT	20	0.04	0.08	49.96	949.92	0.3333333	0.0008	0.00159616919355239
ALT	20	0.04	0.06	49.96	949.94	0.4	0.0008	0.00159680638722555
ALT	20	0.02	0	49.98	950	1	0.0004	0.00079968012794882
ALT	20	0.08	0.04	49.92	949.96	0.6666667	0.0016	0.00319233838825128
ALT	20	0.04	0.02	49.96	949.98	0.6666667	0.0008	0.00159808230133428
ALT	20	0.02	0.04	49.98	949.96	0.3333333	0.0004	0.000799041150523487
ALT	20	0.06	0	49.94	950	1	0.0012	0.00239712345185777
ALT	20	0.06	0.02	49.94	949.98	0.75	0.0012	0.0023961661341853
ALT	20	0.02	0	49.98	950	1	0.0004	0.00079968012794882
ALT	20	0	0.02	50	949.98	0	0	0
ALT	20	0.06	0	49.94	950	1	0.0012	0.00239712345185777
ALT	20	0.04	0.02	49.96	949.98	0.6666667	0.0008	0.00159808230133428
ALT	20	0	0	50	950	0	0	0
ALT	20	0.02	0.02	49.98	949.98	0.5	0.0004	0.000799360511590727
ALW	20	0	0	50	950	0	0	0
ALW	20	0	0.02	50	949.98	0	0	0
ALW	20	0.06	0	49.94	950	1	0.0012	0.00239712345185777
ALW	20	0.06	0.04	49.94	949.96	0.6	0.0012	0.00239520958083832
ALW	20	0.04	0	49.96	950	1	0.0008	0.00159872102318145
ALW	20	0.18	0.02	49.82	949.98	0.9	0.0036	0.00717131474103586
ALW	20	0.24	0.04	49.76	949.96	0.8571429	0.0048	0.00954653938213309
ALW	20	0.48	0.04	49.52	949.96	0.9230769	0.0096	0.0190023752920223
ALW	20	0.14	0	49.86	950	1	0.0028	0.00558436378141205
ALW	20	0.38	0.06	49.62	949.94	0.8636364	0.0076	0.0150674068255183
ALW	20	0.96	0.06	49.04	949.94	0.9411765	0.0192	0.0376323010819194
ALW	20	1.24	0.1	48.76	949.9	0.9253731	0.0248	0.0483054148344128
ALW	20	0.5	0.02	49.5	949.98	0.9615385	0.01	0.0197941409424331
ALW	20	0.94	0.06	49.06	949.94	0.94	0.0188	0.0368627450980392
ALW	20	1.44	0.08	48.56	949.92	0.9473684	0.0288	0.0559006210813626
ALW	20	2.08	0.12	47.92	949.88	0.9454545	0.0416	0.0796934864285609
ALW	20	0.96	0.04	49.04	949.96	0.96	0.0192	0.0376470588235294
ALW	20	1.32	0.08	48.68	949.92	0.9428571	0.0264	0.051361867640691
